Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,schinese
buffZBSAttedEmberName,buffs,Buff,,,Ember,,余烬
buffZBSAttedEmberTooltip,buffs,Buff,,,[DC3200]The body rapidly heats up.,,[DC3200]身体急速升温
buffZBSAttedAbyssName,buffs,Buff,,,Grip of the Abyss,,深渊之握
buffZBSAttedAbyssTooltip,buffs,Buff,,,[003264]Your body has been dragged down.,,[003264]你的身体被拖拽
buffZBSAttedScreamName,buffs,Buff,,,Scream,,尖啸
buffZBSAttedCorrosionName,buffs,Buff,,,Corrosion,,腐蚀
buffZBSAttedCorrosionDesc,buffs,Buff,,,Your resistance to debuffs is reduced. Tour health recovery is halved and health will slowly pass. Giving negative effects based on your current state. \nWhen subjected to Deadly Radiation. Accelerate the loss of life; When Infected. Additional loss of health and stamina every 2s; When suffering from Cystis. Hunger becomes faster. \nTriggered by zombies attached to [327832]Mutated[-].,,你对debuff的抗性降低，生命恢复减半且会生命缓慢流逝，并根据你现在的状态给予负面效果。\n当受到致命辐射时，加速流逝生命；当为感染状态时，每2秒额外损耗生命体力；当受到囊肿时，会更快饥饿。\n由附着[327832]变异[-]的变异丧尸触发。
buffZBSAttedCorrosionTooltip,buffs,Buff,,,[327832]Your skin is rotting and turning yellow.,,[327832]你的皮肤腐烂泛黄
buffZBSPlayerMutatedName,buffs,Buff,,,Mutated,,突变
buffZBSPlayerMutatedTooltip,buffs,Buff,,,[DC0000]Your arms are trembling uncontrollably.,,[DC0000]你的手臂不住颤抖
buffZBSAttedGiddyName,buffs,Buff,,,Giddy,,眩晕
buffZBSBasedOppressName,buffs,Buff,,,Oppress,,压迫
buffZBSBasedOppressTooltip,buffs,Buff,,,[FF0000]Your breathing is rapid.,,[FF0000]你的呼吸急促
buffZBSAttedOppressName,buffs,Buff,,,Suffocate,,窒息
buffZBSAttedOppressTooltip,buffs,Buff,,,[787878]Suffocate.,,[787878]窒息
buffZBSAttedImpactName,buffs,Buff,,,Impact,,冲击
buffZBSAttedElementColdName,buffs,Buff,,,Cold,,寒冷
buffZBSAttedElementFreezeName,buffs,Buff,,,Freeze,,冻结
buffZBSAttedElementWetName,buffs,Buff,,,Wet,,潮湿
buffZBSAttedElementDryName,buffs,Buff,,,Dry,,干燥
buffZBSAttedElementDryTooltip,buffs,Buff,,,[FF8000]You feel dry mouth and tongue.,,[FF8000]你感到口干舌燥
buffZBSAttedElementDryCrackingName,buffs,Buff,,,Skin Cracking,,皮肤开裂
buffZBSAttedElementDryCrackingTooltip,buffs,Buff,,,[FF8000]Your skin is cracked.,,[FF8000]你的皮肤开裂
buffZBSBasedRareBroadcastName,buffs,Buff,,,RareZombies Discover!,,稀有丧尸 发现！
buffZBSBasedRareBroadcastDesc,buffs,Buff,,,When this buff appears. It indicates that there are [FFDC00]rare[-] zombies wandering nearby.,,当此buff出现时，代表附近有[FFDC00]稀有[-]丧尸在游荡。
buffZBSAttedNauseaName,buffs,Buff,,,Nausea,,反胃
buffZBSAttedNauseaTooltip,buffs,Buff,,,[96B432]You feel nauseous.,,[96B432]你恶心想吐
buffZBSAttedDevourName,buffs,Buff,,,Devour,,吞噬
buffZBSAttedDevourTooltip,buffs,Buff,,,[780000]Your body is being swallowed up.,,[780000]你的身体在被吞噬
buffZBSAttedBoundName,buffs,Buff,,,Bound,,束缚
buffZBSAttedFlameBalanceName,buffs,Buff,,,Balance Flame,,平衡之焰
buffZBSAttedFlameJudgmentName,buffs,Buff,,,Judgment Flame,,审判之焰

buffZBSCountCorpseMaggotName,buffs,Buff,,,Corpse Maggot Invasion,,尸蛆入侵
buffZBSCountCorpseMaggotDesc,buffs,Buff,,,Your body is being invaded by corpse maggots.,,你的身体正遭到尸蛆的入侵。生命体力恢复减半，水分食物不断流失。\n当[B4DCB4]感染高于10%[-]时，每秒流逝0.5点生命，感染增长0.2%；当[B4DCB4]感染高于50%[-]时，攻击其他实体时也会使其被尸蛆感染。\n近身攻击实体会使自身损失8点生命并减少0.8%感染；受到燃烧时每秒减少1%感染；消炎药每秒会消除3%感染。
buffZBSCountCorpseMaggotTooltip,buffs,Buff,,,[640A0A]Disgusting corpse maggots have penetrated your skin.,,[640A0A]恶心的尸蛆钻入了你的皮肤
buffZBSBasedCorpseMaggotName,buffs,Buff,,,Corpse Maggot Infection,,尸蛆感染
buffZBSBasedCorpseMaggotDesc,buffs,Buff,,,When this buff appears. It indicates that there are [FFDC00]rare[-] zombies wandering nearby.,,你感染了尸蛆，使用消炎药可以解除。你将缓慢流逝饥渴度，并随感染加深，生命流逝和感染速度加快。\n当[B4DCB4]感染低于30%[-]时，体力生命恢复减少30%；\n当[B4DCB4]感染高于30%且低于60%[-]时，体力生命恢复减少50%，移速减缓，近战攻速加快、伤害减半；\n当[B4DCB4]感染高于等于60%[-]时，体力生命恢复减少70%，生命上限提高100%，移速缓慢，近战攻速加快、伤害减少70%。\n受击会使目标附着尸蛆，受击时恢复自身10点生命。攻击敌人为其附着尸蛆啃噬，每秒扣除其25点生命，不断为自身恢复生命、体力和饥渴值。击杀实体会将感染值重置回60%。\n若身周存在敌人，会不断受到尸蛆驱使，并暂时加强自身属性；若未击杀，每秒流逝5点生命直至宿主驱使移除。每击杀一个实体恢复自身25点生命。\n当[B4DCB4]感染达到140%[-]时，每2秒减少当前生命的10%，不断流血，直至死亡。
buffZBSBasedCorpseMaggotTooltip,buffs,Buff,,,[640A0A]Your skin and flesh are bulging. Something is gnawing on you.,,[640A0A]你的皮肉鼓胀，有什么东西在啃食
buffZBSBasedCorpseMKillScreenName,buffs,Buff,,,Parasite Command,,宿主驱使
buffZBSBasedCorpseMKillScreenTooltip,buffs,Buff,,,[FF0000]Go kill them.,,[FF0000]去杀了它们
buffZBSAttedCorpseMaggotGnawName,buffs,Buff,,,Corpse Maggot Gnaw,,尸蛆啃噬
buffZBSAttedCorpseMaggotGnawTooltip,buffs,Buff,,,[FF0000]Corpse maggots are gnawing on your flesh and blood.,,[FF0000]尸蛆在啃噬你的血肉

buffZBSAloeHealingName,buffs,Buff,,,Flesh Self-Healing,,血肉自愈
buffZBSAloeHealingTooltip,buffs,Buff,,,[DCA0A0]Strange meat filling your wound.,,[DCA0A0]异样的血肉填充进你的伤口
buffZBSDrugInhibitoryMotorRestorerName,buffs,Buff,,,Inhibitory Motor Restorer,,抑制性功能恢复
buffZBSDrugInhibitoryMotorRestorerTooltip,buffs,Buff,,,[00A0FF]The pain in the limbs gradually subsides.,,[00A0FF]肢体的疼痛逐渐缓解
buffZBSDrugInjectionSprintName,buffs,Buff,,,High Speed Sprint,,高速冲刺
buffZBSDrugInjectionSprintTooltip,buffs,Buff,,,[5050A0]Your limbs have evolved.,,[5050A0]你的肢体得到进化
buffZBSDrugInjectionIronSkinName,buffs,Buff,,,Iron Skin,,铁皮
buffZBSDrugInjectionIronSkinTooltip,buffs,Buff,,,[A0A0A0]Your skin is incredibly hard.,,[A0A0A0]你的外皮无比坚硬

questZBSPartsBundle,items,Item,,,Parts Bundle,,零件包
questZBSPartsBundleDesc,items,Item,,,Parts Bundle,,打开后获得3个维修工具和5种随机数量的零件。
giveXPZBSRareCandy,items,item,,,[B4B4C8]Rare Candy,,[B4B4C8]神奇糖果
giveXPZBSRareCandyDesc,items,item,,,Level up!\n[B4B4C8]Give you 9500 experience points and 2 skill points.,,Level up！\n给予你[B4B4C8]9500经验值[-]与[B4B4C8]2点技能点数[-]。\n通过任务获得。

partZBSMutatedFragments,items,Item,,,Mutated Fragment,,突变碎片
partZBSMutatedFragmentsDesc,items,Item,,,Blood and flesh fragments dropped by special zombies. Used to synthesize items with special effects.,,由特殊丧尸概率掉落的血肉碎片，用于合成具有特殊效用的物品。
partZBSGeneSegmentMutated,items,Item,,,Gene Segment of Mutated,,突变基因片段
partZBSGeneSegmentSpeed,items,Item,,,Gene Segment of Speed,,速度基因片段
partZBSGeneSegmentRobust,items,Item,,,Gene Segment of Robust,,强健基因片段
partZBSGeneSegmentDesc,items,Item,,,Gene fragments dropped by zombies with specific attributes. It becomes milder after processing. Can be used to synthesize items with their special abilities.,,由拥有特定属性的丧尸掉落的基因片段，处理后更加温和。可用于合成带有其特殊能力的物品。

medicalZBSHealingAloeCream,items,Medical,,,Flesh Self-Healing Cream,,血肉自愈霜
medicalZBSHealingAloeCreamDesc,items,Medical,,,Abnormal proliferation of flesh and blood. Briefly hallucinating and reducing mobility after application. Restoring a certain amount of health. And an additional 4 points of health every 3 seconds during the duration.,,异常增生的血肉，敷用后短暂致幻并降低移动力，恢复一定生命值并在持续期间每3秒额外恢复4点生命。
drugZBSInhibitoryMotorRestorer,items,Medical,,,Inhibitory Motor Restorer,,抑制性功能恢复剂
drugZBSInhibitoryMotorRestorerDesc,items,Medical,,,After injection. It reduces the impact of fractures and sprains for a period of time and accelerates their natural recovery. When used for treated fractures and sprains. Will accelerate recovery to a certain stage during injection.,,注射后，一段时间内减少骨折扭伤带来的影响，并加速其自然恢复。用于已处理的骨折扭伤时，会在注射时加速恢复一定阶段。\n处于[00A0FF]抑制性功能恢复[-]状态时，减少骨折扭伤带来的身体影响，加速状态治愈，并提升体力生命恢复。
drugZBSInjectionSprint,items,Medical,,,Sprint Injection,,冲刺注射剂
drugZBSInjectionSprintDesc,items,Medical,,,At the cost of burning your life. You will gain a 1-min high-speed sprint and recover all twisted and fractured limbs during this time.,,以燃烧生命为代价，使你获得为期1分钟的高速冲刺，并在此其间恢复所有扭伤骨折的肢体。\n处于[5050A0]高速冲刺[-]状态时，大幅提升移动能力和摔落的安全高度，恢复扭伤骨折的肢体，并在生命高于25%时不断流逝生命。\n结束时恢复自身50点生命。
drugZBSInjectionIronSkin,items,Medical,,,Iron Skin Injection,,铁皮药剂
drugZBSInjectionIronSkinDesc,items,Medical,,,Enhance resistance and block damage. Obtain regeneration.,,提升自身抗性和物块伤害，并获得生命恢复。\n处于[A0A0A0]铁皮[-]状态时，提升8点双抗与25点物块伤害，加速生命恢复，低于60%生命时再获得12点双抗；可以抵御部分非伤害的负面效果。
bookZBSProofofHonor,items,perk  book,,,[FFC800]Proof of Honor,,[FFC800]荣誉之证
bookZBSProofofHonorDesc,items,perk  book,,,Proof of belonging to the strong.,,[action:local:Primary]使用后产生一次等效于急救绷带的效果，拥有5秒CD。\n[action:local:Secondary]使用后移除身上的负面状态（仅原版和本模组部分），并获得一次铁皮，拥有300秒CD。\n\n[FFC800]属于强者的证明。

meleeZBSWpnBladeCorrosionKnife,items,Melee,,,Corrosion Knife,,腐蚀之刃
meleeZBSWpnBladeCorrosionKnifeDesc,items,Melee,,,It is heavier and sharper than a bone knife. The embedded mutated fragments endow it with unique abilities. \nAttacks have an 8% chance of triggering 5 points of bloodsucking. And a 50% chance of target attachment corrosion.,,比骨刀更重更锋利，嵌入的突变碎片赋予了它独特的能力。\n攻击有8%概率触发5点吸血，50%概率为目标附着腐蚀。\n[C8C8C8]深度刀伤可以提升制作等级。
meleeZBSWpnBladeCorrosionKnifeII,items,Melee,,,Corrosion Knife(Activate),,腐蚀之刃（激活）
meleeZBSWpnBladeCorrosionKnifeIIDesc,items,Melee,,,Using mutated gene fragments to activate the Corrosion Blade. Instinct will be stimulated when holding.,,使用突变基因片段激活后的腐蚀之刃，持有时本能将会得到激发。\n手持腐蚀之刃时，获得[A00000]突变[-]。当[A00000]生命高于50%[-]时，每3秒[A00000]损失3点生命[-]，[A00000]移速和生命体力恢复[-]获得加强，攻击敌人有30%概率[A00000]叠加攻速和攻击[-]，至多[A00000]提升36%[-]；当生命[A00000]低于75%[-]时，额外获得[A00000]15点伤害加成[-]。\n攻击附着[A00000]轻度流血[-]，有30%概率触发[A00000]5点吸血[-]，75%概率为目标附着[327832]腐蚀[-]。击杀敌人时恢复[A00000]8点生命和饱食度[-]。\n[C8C8C8]深度刀伤可以提升制作等级。

modZBSMeleeWeightedHeadEnhanced,item_modifiers,mod,,,Enhanced Weighted Head Mod,,强化重头模组
modZBSMeleeWeightedHeadEnhancedDesc,items,Melee,,,A modification for all melee weapons and tools.\nAdds a chance to stun and slow victims.\n\nKnives and machetes do not have a head that can be weighted.,,可用于所有近战武器和工具的模组。\n有25%概率眩晕并减速目标，额外12%概率击倒目标，攻击眩晕中的目标获得额外伤害加成。\n\n匕首和砍刀没有可平衡重量的刀头。
modZBSArmorCoerciveCapacity,item_modifiers,mod,,,Coercive Capacity Mod,,强制能力模组
modZBSArmorCoerciveCapacityDesc,items,Melee,,,Decreases movement and stamina penalties from armor chest.,,使用突变基因强制激活能力。降低胸甲的移动速度惩罚和体力惩罚，提升移速和体力恢复，但生命恢复减少30%。
modZBSArmorPlatingMutated,item_modifiers,mod,,,Mutated Armor Plating Mod,,突变装甲板模组
modZBSArmorPlatingMutatedDesc,items,Melee,,,Improve your armor rating with these additional armor plates. Can be installed in any armor.,,使用额外的装甲板提升你的护甲等级。可装在任意护甲上。\n额外获得8%负面效果抗性。
modZBSArmorPlatingReinforcedMutated,item_modifiers,mod,,,Mutated Banded Armor Plating Mod,,突变带状装甲板模组
modZBSArmorPlatingReinforcedMutatedDesc,items,Melee,,,Improve your armor rating with these additional armor plates. Can be installed in any armor.,,使用额外的装甲板提升你的护甲等级。可装在任意护甲上。\n额外获得10%负面效果抗性与15%眩晕抗性。

thrownZBSAmmoCorrosiveLiquid,items,Gun,,,Bottled Corrosive Liquid (Ammo),,瓶装腐蚀液（弹药）
thrownZBSAmmoCorrosiveLiquidInf,items,Gun,,,Bottled Corrosive Liquid (Ammo),,瓶装腐蚀液（无限弹药）
thrownZBSGrenadeContactCorrosion,items,Gun,,,Contact Contact Grenade (Ammo),,触炸腐蚀手雷（弹药）
thrownZBSGrenadeContactCorrosionInf,items,Gun,,,Contact Contact Grenade (Ammo),,触炸腐蚀手雷（无限弹药）

quest_ZBSRareCandy,Quest,Quest Info,,,Rare Candy,,神奇糖果
quest_ZBSRareCandy_subtitle,Quest,Quest Info,,,Rare Candy,,神奇糖果 [FFB400]-技能点获取[-]
quest_ZBSRareCandy_description_title,Quest,Quest Info,,,Rare Candy,,神奇糖果
quest_ZBSRareCandy_description,Quest,Quest Info,,,Rare Candy,,获取技能点
quest_ZBSRareCandy_hint1,Quest,Quest Info,,,1,,收集[00FF00]一块木头[-]。
