Key,File,Type,UsedInMainMenu,NoTranslate,english,schinese
T4BowCompoundS2Desc,items,Gun,,,5 arrows per shot \n\nScrap to IridescentCube,每次射出5支箭 \n\n可分解为虹彩结晶
T1CrossbowIronS1,items,Gun,,,IronCrossbow[swoosh!],铁弩[嗖！]
T1CrossbowIronS1Desc,items,Gun,,,Arrow Load +1 \n\nScrap to IridescentCube,箭矢装载量+1 \n\n可分解为虹彩结晶
T2CrossbowIronS2,items,Gun,,,IronCrossbow[swoosh!swoosh!],铁弩[嗖嗖！]
T2CrossbowIronS2Desc,items,Gun,,,Arrow Load +2 \n\nScrap to IridescentCube,箭矢装载量+2 \n\n可分解为虹彩结晶
T3CrossbowCompoundS1,items,Gun,,,CompoundCrossbow[swoosh!swoosh!swoosh!],复合弩[嗖嗖嗖！]
T3CrossbowCompoundS1Desc,items,Gun,,,Arrow Load +3 \n\nScrap to IridescentCube,箭矢装载量+3 \n\n可分解为虹彩结晶
T4CrossbowCompoundS2,items,Gun,,,CompoundCrossbow[swoosh!swoosh!swoosh!swoosh!],复合弩[嗖嗖嗖嗖！]
T4CrossbowCompoundS2Desc,items,Gun,,,Arrow Load +4 \n\nScrap to IridescentCube,箭矢装载量+4 \n\n可分解为虹彩结晶
T1GunPistolS1,items,Gun,,,Pistol[interested],手枪[兴趣]
T1GunPistolS1Desc,items,Gun,,,Kill Experience +200 \n\nScrap to IridescentCube,击杀经验+200 \n\n可分解为虹彩结晶
T2GunPistolS2,items,Gun,,,Pistol[erudite],手枪[博学]
T2GunPistolS2Desc,items,Gun,,,Kill Experience +400 \n\nScrap to IridescentCube,击杀经验+400 \n\n可分解为虹彩结晶
T3GunPistolS3,items,Gun,,,Pistol[tireless],手枪[孜孜不倦]
T3GunPistolS3Desc,items,Gun,,,Kill Experience +600 \n\nScrap to IridescentCube,击杀经验+600 \n\n可分解为虹彩结晶
T4GunPistolS4,items,Gun,,,Pistol[The moon illuminates the heart],手枪[月照心自明]
T4GunPistolS4Desc,items,Gun,,,Kill Experience +800 \n\nScrap to IridescentCube,击杀经验+800 \n\n可分解为虹彩结晶
T3GunSmg5S1,items,Gun,,,SMG5[quick],SMG5[电光火石]
T3GunSmg5S1Desc,items,Gun,,,+25% damage while walking\n+45% damage while running\nCan hold .44 bullets \n\nScrap to IridescentCube,行走时伤害+25%\n奔跑时伤害+45%\n可装载.44子弹 \n\n可分解为虹彩结晶
T4GunSmg5S2,items,Gun,,,SMG5[Lightning Speed],SMG5[关山度若飞]
T4GunSmg5S2Desc,items,Gun,,,+45% damage while walking\n+75% damage while running\nCan hold .44 bullets \n\nScrap to IridescentCube,行走时伤害+45%\n奔跑时伤害+75%\n可装载.44子弹 \n\n可分解为虹彩结晶
T2GunMagnum44S1,items,Gun,,,Magnum44[electric],马格南[电击]
T2GunMagnum44S1Desc,items,Gun,,,50% chance of electric shock near the target\nReload speed +50% \n\nScrap to IridescentCube,攻击时50%几率对目标附近造成电击\n换弹速度+50% \n\n可分解为虹彩结晶
T3GunMagnum44S2,items,Gun,,,Magnum44[lightning],马格南[雷霆万钧]
T3GunMagnum44S2Desc,items,Gun,,,70% chance of electric shock near the target\nReload speed +70% \n\nScrap to IridescentCube,攻击时70%几率对目标附近造成电击\n换弹速度+70% \n\n可分解为虹彩结晶
T4GunMagnum44S3,items,Gun,,,Magnum44[thunderbolt],马格南[霹雳天涯飞列缺]
T4GunMagnum44S3Desc,items,Gun,,,90% chance of electric shock near the target\nReload speed +90% \n\nScrap to IridescentCube,攻击时90%几率对目标附近造成电击\n换弹速度+90% \n\n可分解为虹彩结晶
T3GunDesertVultureS1,items,Gun,,,DesertVulture[flaming],沙漠秃鹰[炽焰]
T3GunDesertVultureS1Desc,items,Gun,,,15% chance to burn near target while attacking \nDamage to burning enemies +100% \n\nScrap to IridescentCube,攻击时15%几率使目标附近燃烧\n对燃烧中的敌人伤害+100% \n\n可分解为虹彩结晶
T4GunDesertVultureS2,items,Gun,,,DesertVulture[Blazing fire],沙漠秃鹰[烈火张天照云海]
T4GunDesertVultureS2Desc,items,Gun,,,20% chance to burn near target while attacking \nDamage to burning enemies +150% \n\nScrap to IridescentCube,攻击时20%几率使目标附近燃烧\n对燃烧中的敌人伤害+150% \n\n可分解为虹彩结晶
T1GunDoubleBarrelS1,items,Gun,,,DoubleBarrel[unparalleled],双管散弹枪[无双]
T1GunDoubleBarrelS1Desc,items,Gun,,,The higher your own health percentage the higher your weapon damage \nUp to +80% \n\nScrap to IridescentCube,自身生命值百分比越高武器伤害越高\n最高+80% \n\n可分解为虹彩结晶
T2GunDoubleBarrelS2,items,Gun,,,DoubleBarrel[unparalleled overground],双管散弹枪[天下无双]
T2GunDoubleBarrelS2Desc,items,Gun,,,The higher your own health percentage the higher your weapon damage \nUp to +120% \n\nScrap to IridescentCube,自身生命值百分比越高武器伤害越高\n最高+120% \n\n可分解为虹彩结晶
T3GunDoubleBarrelS3,items,Gun,,,DoubleBarrel[unparalleled in the sky],双管散弹枪[天上无双]
T3GunDoubleBarrelS3Desc,items,Gun,,,The higher your own health percentage the higher your weapon damage \nUp to +160% \n\nScrap to IridescentCube,自身生命值百分比越高武器伤害越高\n最高+160% \n\n可分解为虹彩结晶
T4GunDoubleBarrelS4,items,Gun,,,DoubleBarrel[unparalleled in the world],双管散弹枪[天上天下无双]
T4GunDoubleBarrelS4Desc,items,Gun,,,The higher your own health percentage the higher your weapon damage \nUp to +200% \n\nScrap to IridescentCube,自身生命值百分比越高武器伤害越高\n最高+200% \n\n可分解为虹彩结晶
T2GunPumpShotgunS1,items,Gun,,,PumpShotgun[kada],泵动式散弹枪[咔哒]
T2GunPumpShotgunS1Desc,items,Gun,,,weapon damage increased by 60% but ammunition load reduced to 1 \n\nScrap to IridescentCube,武器伤害提升60%但载弹量降低至1 \n\n可分解为虹彩结晶
T3GunPumpShotgunS2,items,Gun,,,PumpShotgun[bang],泵动式散弹枪[嘭次]
T3GunPumpShotgunS2Desc,items,Gun,,,weapon damage increased by 90% but ammunition load reduced to 1 \n\nScrap to IridescentCube,武器伤害提升90%但载弹量降低至1 \n\n可分解为虹彩结晶
T4GunPumpShotgunS3,items,Gun,,,PumpShotgun[Patapon],泵动式散弹枪[啪嗒砰]
T4GunPumpShotgunS3Desc,items,Gun,,,weapon damage increased by 120% but ammunition load reduced to 1 \n\nScrap to IridescentCube,武器伤害提升120%但载弹量降低至1 \n\n可分解为虹彩结晶
T3GunAutoShotgunS1,items,Gun,,,AutoShotgun[hell],自动散弹枪[地狱]
T3GunAutoShotgunS1Desc,items,Gun,,,The lower your health percentage the higher your weapon damage \nUp to +60% \n\nScrap to IridescentCube,自身生命值百分比越低武器伤害越高\n最高+60% \n\n可分解为虹彩结晶
T4GunAutoShotgunS2,items,Gun,,,AutoShotgun[die in hell],自动散弹枪[死归地府亦何妨]
T4GunAutoShotgunS2Desc,items,Gun,,,The lower your health percentage the higher your weapon damage \nUp to +100% \n\nScrap to IridescentCube,自身生命值百分比越低武器伤害越高\n最高+100% \n\n可分解为虹彩结晶
T1GunHuntingRifleS1,items,Gun,,,HuntingRifle[forest],猎枪[森林]
T1GunHuntingRifleS1Desc,items,Gun,,,reload speed +50% damage +100% \nWhile crouching \n\nScrap to IridescentCube,蹲下时\n换弹速度+50% 攻击伤害+100% \n\n可分解为虹彩结晶
T2GunHuntingRifleS2,items,Gun,,,HuntingRifle[blue sky],猎枪[蓝天]
T2GunHuntingRifleS2Desc,items,Gun,,,reload speed +60% damage +150% \nWhile crouching \n\nScrap to IridescentCube,蹲下时\n换弹速度+60% 攻击伤害+150% \n\n可分解为虹彩结晶
T3GunHuntingRifleS3,items,Gun,,,HuntingRifle[eagle eye],猎枪[鹰眼]
T3GunHuntingRifleS3Desc,items,Gun,,,reload speed +70% damage +200% \nWhile crouching \n\nScrap to IridescentCube,蹲下时\n换弹速度+70% 攻击伤害+200% \n\n可分解为虹彩结晶
T4GunHuntingRifleS4,items,Gun,,,HuntingRifle[shoot with great precision],猎枪[百步穿杨]
T4GunHuntingRifleS4Desc,items,Gun,,,reload speed +80% damage +250% \nWhile crouching \n\nScrap to IridescentCube,蹲下时\n换弹速度+80% 攻击伤害+250% \n\n可分解为虹彩结晶
T2GunLeverActionRifleS1,items,Gun,,,LeverActionRifle[blue sea],杠杆式步枪[碧海]
T2GunLeverActionRifleS1Desc,items,Gun,,,Head Shot extra Damage +100 \n\nScrap to IridescentCube,额外爆头伤害+100 \n\n可分解为虹彩结晶
T3GunLeverActionRifleS2,items,Gun,,,LeverActionRifle[Purple Peak],杠杆式步枪[紫巅]
T3GunLeverActionRifleS2Desc,items,Gun,,,Head Shot extra Damage +200 \n\nScrap to IridescentCube,额外爆头伤害+200 \n\n可分解为虹彩结晶
T4GunLeverActionRifleS3,items,Gun,,,LeverActionRifle[dragoon],杠杆式步枪[龙骑兵]
T4GunLeverActionRifleS3Desc,items,Gun,,,Head Shot extra Damage +300 \n\nScrap to IridescentCube,额外爆头伤害+300 \n\n可分解为虹彩结晶
T3GunSniperRifleS1,items,Gun,,,SniperRifle[automata],猎枪[尼尔]
T3GunSniperRifleS1Desc,items,Gun,,,The further away from the target the higher the damage \nUp to +75% \n\nScrap to IridescentCube,距离目标越远伤害越高\n最高+75% \n\n可分解为虹彩结晶
T4GunSniperRifleS2,items,Gun,,,SniperRifle[NieR],猎枪[机械纪元]
T4GunSniperRifleS2Desc,items,Gun,,,The further away from the target the higher the damage \nUp to +120% \n\nScrap to IridescentCube,距离目标越远伤害越高\n最高+120% \n\n可分解为虹彩结晶
T1GunAk47S1,items,Gun,,,AK47[unyielding],Ak47[不屈]
T1GunAk47S1Desc,items,Gun,,,The lower the remaining load the higher the weapon damage \nUp to +45% \n\nScrap to IridescentCube,剩余载弹量越低武器伤害越高\n最高+45% \n\n可分解为虹彩结晶
T2GunAk47S2,items,Gun,,,AK47[fight to win or die],Ak47[背水一战]
T2GunAk47S2Desc,items,Gun,,,The lower the remaining load the higher the weapon damage \nUp to +81% \n\nScrap to IridescentCube,剩余载弹量越低武器伤害越高\n最高+81% \n\n可分解为虹彩结晶
T3GunAk47S3,items,Gun,,,AK47[cut off all means of retreat],Ak47[破釜沉舟]
T3GunAk47S3Desc,items,Gun,,,The lower the remaining load the higher the weapon damage \nUp to +117% \n\nScrap to IridescentCube,剩余载弹量越低武器伤害越高\n最高+117% \n\n可分解为虹彩结晶
T4GunAk47S4,items,Gun,,,AK47[I used to fight a million swords],Ak47[一剑曾当百万师]
T4GunAk47S4Desc,items,Gun,,,The lower the remaining load the higher the weapon damage \nUp to +153% \n\nScrap to IridescentCube,剩余载弹量越低武器伤害越高\n最高+153% \n\n可分解为虹彩结晶
T2GunTacticalARS1,items,Gun,,,TacticalAR[cautious],突击步枪[谨慎]
T2GunTacticalARS1Desc,items,Gun,,,The higher the remaining load the higher the weapon damage \nUp to +72% \n\nScrap to IridescentCube,剩余载弹量越高武器伤害越高\n最高+72% \n\n可分解为虹彩结晶
T3GunTacticalARS2,items,Gun,,,TacticalAR[Everything is ready],突击步枪[万事俱备]
T3GunTacticalARS2Desc,items,Gun,,,The higher the remaining load the higher the weapon damage \nUp to +99% \n\nScrap to IridescentCube,剩余载弹量越高武器伤害越高\n最高+99% \n\n可分解为虹彩结晶
T4GunTacticalARS3,items,Gun,,,TacticalAR[You must be the hamster],突击步枪[博观而约取]
T4GunTacticalARS3Desc,items,Gun,,,The higher the remaining load the higher the weapon damage \nUp to +126% \n\nScrap to IridescentCube,剩余载弹量越高武器伤害越高\n最高+126% \n\n可分解为虹彩结晶
T3GunM60S1,items,Gun,,,M60[Titans],M60机枪[泰坦]
T3GunM60S1Desc,items,Gun,,,Ammunition load increased to 100 reload speed -30% \n\nScrap to IridescentCube,载弹量提升至100 换弹速度-30% \n\n可分解为虹彩结晶
T4GunM60S2,items,Gun,,,M60[The beacon fires and the day lights up],M60机枪[烽火昼连光]
T4GunM60S2Desc,items,Gun,,,Ammunition load increased to 150 reload speed -40% \n\nScrap to IridescentCube,载弹量提升至150 换弹速度-40% \n\n可分解为虹彩结晶
T3GunRocketLauncherS1,items,Gun,,,RocketLauncher[rumble],火箭筒[威绝]
T3GunRocketLauncherS1Desc,items,Gun,,,weapon damage +25% Block damage +25% \n\nScrap to IridescentCube,武器伤害+25% 物块伤害+25% \n\n可分解为虹彩结晶
T4GunRocketLauncherS2,items,Gun,,,RocketLauncher[thunder],火箭筒[胡星耀精芒]
T4GunRocketLauncherS2Desc,items,Gun,,,weapon damage +45% Block damage +45% \n\nScrap to IridescentCube,武器伤害+45% 物块伤害+45% \n\n可分解为虹彩结晶
marisaArmorT3TreasureHunterHead,items,Armor,,,IridescentArmorHead[TreasureHunter],虹彩兜帽[宝藏猎人]
marisaArmorT3TreasureHunterHeadDesc,items,Armor,,,Loot Stage +3 \nPerception +1 TreasureBlocksPer-1 when fully equipped \n\nScrap to IridescentCube,战利品奖励+3 \n全套装备时感知+1 挖掘半径缩小-1 \n\n可分解为虹彩结晶
marisaArmorT3TreasureHunterChest,items,Armor,,,IridescentArmorChest[TreasureHunter],虹彩胸甲[宝藏猎人]
marisaArmorT3TreasureHunterChestDesc,items,Armor,,,Loot Stage +3 \nPerception +1 TreasureBlocksPer-1 when fully equipped \n\nScrap to IridescentCube,战利品奖励+3 \n全套装备时感知+1 挖掘半径缩小-1 \n\n可分解为虹彩结晶
marisaArmorT3TreasureHunterGloves,items,Armor,,,IridescentArmorGloves[TreasureHunter],虹彩手套[宝藏猎人]
marisaArmorT3TreasureHunterGlovesDesc,items,Armor,,,Loot Stage +3 \nPerception +1 TreasureBlocksPer-1 when fully equipped \n\nScrap to IridescentCube,战利品奖励+3 \n全套装备时感知+1 挖掘半径缩小-1 \n\n可分解为虹彩结晶
marisaArmorT3TreasureHunterPants,items,Armor,,,IridescentArmorPants[TreasureHunter],虹彩护腿[宝藏猎人]
marisaArmorT3TreasureHunterPantsDesc,items,Armor,,,Loot Stage +3 \nPerception +1 TreasureBlocksPer-1 when fully equipped \n\nScrap to IridescentCube,战利品奖励+3 \n全套装备时感知+1 挖掘半径缩小-1 \n\n可分解为虹彩结晶
marisaArmorT3TreasureHunterBoots,items,Armor,,,IridescentArmorBoots[TreasureHunter],虹彩鞋子[宝藏猎人]
marisaArmorT3TreasureHunterBootsDesc,items,Armor,,,Loot Stage +3 \nPerception +1 TreasureBlocksPer-1 when fully equipped \n\nScrap to IridescentCube,战利品奖励+3 \n全套装备时感知+1 挖掘半径缩小-1 \n\n可分解为虹彩结晶
marisaArmorT3BerserkerHead,items,Armor,,,IridescentArmorHead[Berserker],虹彩兜帽[狂战士]
marisaArmorT3BerserkerHeadDesc,items,Armor,,,Health Max +10 \nStrength +1 when fully equipped \n\nScrap to IridescentCube,最大生命值 +10 \n全套装备时力量+1 \n\n可分解为虹彩结晶
marisaArmorT3BerserkerChest,items,Armor,,,IridescentArmorChest[Berserker],虹彩胸甲[狂战士]
