Key,File,Type,UsedInMainMenu,NoTranslate,schinese
BowWoodenS1Desc,items,Gun,,,[999498]RANK 1\n\n[FFFFFF]伤害乘数+2%\n\n可分解为虹彩小晶块
BowWoodenS2,items,Gun,,,木弓[防卫者Ⅱ]
BowWoodenS2Desc,items,Gun,,,[CCECFF]RANK 2\n\n[FFFFFF]伤害乘数+4%\n\n可分解为虹彩小晶块
BowWoodenS3,items,Gun,,,木弓[至诚Ⅰ]
BowWoodenS3Desc,items,Gun,,,[F5F918]RANK 3\n\n[FFFFFF]伤害乘数+6%\n\n可分解为虹彩小晶块
BowWoodenS4,items,Gun,,,木弓[至诚Ⅱ]
BowWoodenS4Desc,items,Gun,,,[67C483]RANK 4\n\n[FFFFFF]伤害乘数+8%\n\n可分解为虹彩小晶块
BowWoodenS5,items,Gun,,,木弓[果敢Ⅰ]
BowWoodenS5Desc,items,Gun,,,[84E1EC]RANK 5\n\n[FFFFFF]伤害乘数+10%\n\n可分解为虹彩小晶块
BowWoodenS6,items,Gun,,,木弓[果敢Ⅱ]
BowWoodenS6Desc,items,Gun,,,[7EA8FB]RANK 6\n\n[FFFFFF]伤害乘数+12%\n\n可分解为虹彩小晶块
BowCompoundS7,items,Gun,,,复合弓[暗夜]
BowCompoundS7Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]伤害乘数+14%\n敌人掉落战利品的几率增加30%\n\n可分解为虹彩小晶块
BowCompoundS8,items,Gun,,,复合弓[圆月]
BowCompoundS8Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]伤害乘数+16%\n敌人掉落战利品的几率增加40%\n\n可分解为虹彩小晶块
BowCompoundS9,items,Gun,,,复合弓[六花晶Ⅰ]
BowCompoundS9Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]伤害乘数+18%\n敌人掉落战利品的几率增加50%\n\n可分解为虹彩大晶体
BowCompoundS10,items,Gun,,,复合弓[六花晶Ⅱ]
BowCompoundS10Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]伤害乘数+20%\n敌人掉落战利品的几率增加60%\n\n可分解为虹彩大晶体
BowCompoundS11,items,Gun,,,复合弓[六花晶Ⅲ]
BowCompoundS11Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]伤害乘数+22%\n敌人掉落战利品的几率增加70%\n\n可分解为虹彩大晶体
BowCompoundS12,items,Gun,,,复合弓[露湿乱世情]
BowCompoundS12Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]伤害乘数+24%\n敌人掉落战利品的几率增加80%\n\n可分解为虹彩大晶体
BowCompoundS13,items,Gun,,,复合弓[露湿乱世情]
BowCompoundS13Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]伤害乘数+24%\n敌人掉落战利品的几率增加80%\n\n可分解为绯绯色金

BowCompoundS7P1,items,Gun,,,复合弓[幽鬼]
BowCompoundS7P1Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]每次射出2支箭\n\n可分解为虹彩小晶块
BowCompoundS8P1,items,Gun,,,复合弓[神渊]
BowCompoundS8P1Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]每次射出2支箭\n\n可分解为虹彩小晶块
BowCompoundS9P1,items,Gun,,,复合弓[零式]
BowCompoundS9P1Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]每次射出3支箭\n\n可分解为虹彩大晶体
BowCompoundS10P1,items,Gun,,,复合弓[壹式]
BowCompoundS10P1Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]每次射出3支箭\n\n可分解为虹彩大晶体
BowCompoundS11P1,items,Gun,,,复合弓[贰式]
BowCompoundS11P1Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]每次射出3支箭\n\n可分解为虹彩大晶体
BowCompoundS12P1,items,Gun,,,复合弓[夜宿樱花树]
BowCompoundS12P1Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]每次射出3支箭\n\n可分解为虹彩大晶体
BowCompoundS13P1,items,Gun,,,复合弓[夜宿樱花树]
BowCompoundS13P1Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]每次射出3支箭\n\n可分解为绯绯色金



CrossbowIronS1,items,Gun,,,铁弩[弹力十足Ⅰ]
CrossbowIronS1Desc,items,Gun,,,[999498]RANK 1\n\n[FFFFFF]弹道速度+10%\n换弹速度+65%\n\n可分解为虹彩小晶块
CrossbowIronS2,items,Gun,,,铁弩[弹力十足Ⅱ]
CrossbowIronS2Desc,items,Gun,,,[CCECFF]RANK 2\n\n[FFFFFF]弹道速度+20%\n换弹速度+70%\n\n可分解为虹彩小晶块
CrossbowIronS3,items,Gun,,,铁弩[弹力十足Ⅲ]
CrossbowIronS3Desc,items,Gun,,,[F5F918]RANK 3\n\n[FFFFFF]弹道速度+30%\n换弹速度+75%\n\n可分解为虹彩小晶块
CrossbowIronS4,items,Gun,,,铁弩[追捕者Ⅰ]
CrossbowIronS4Desc,items,Gun,,,[67C483]RANK 4\n\n[FFFFFF]弹道速度+40%\n换弹速度+80%\n\n可分解为虹彩小晶块
CrossbowIronS5,items,Gun,,,铁弩[追捕者Ⅱ]
CrossbowIronS5Desc,items,Gun,,,[84E1EC]RANK 5\n\n[FFFFFF]弹道速度+50%\n换弹速度+85%\n\n可分解为虹彩小晶块
CrossbowIronS6,items,Gun,,,铁弩[追捕者Ⅲ]
CrossbowIronS6Desc,items,Gun,,,[7EA8FB]RANK 6\n\n[FFFFFF]弹道速度+60%\n换弹速度+90%\n\n可分解为虹彩小晶块
CrossbowCompoundS7,items,Gun,,,复合弩[飞燕]
CrossbowCompoundS7Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]弹道速度+70%\n换弹速度+95%\n\n可分解为虹彩小晶块
CrossbowCompoundS8,items,Gun,,,复合弩[枭眼]
CrossbowCompoundS8Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]弹道速度+80%\n换弹速度+100%\n\n可分解为虹彩小晶块
CrossbowCompoundS9,items,Gun,,,复合弩[风贼落羽Ⅰ]
CrossbowCompoundS9Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]弹道速度+90%\n换弹速度+105%\n\n可分解为虹彩大晶体
CrossbowCompoundS10,items,Gun,,,复合弩[风贼落羽Ⅱ]
CrossbowCompoundS10Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]弹道速度+100%\n换弹速度+110%\n\n可分解为虹彩大晶体
CrossbowCompoundS11,items,Gun,,,复合弩[风贼落羽Ⅲ]
CrossbowCompoundS11Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]弹道速度+110%\n换弹速度+115%\n\n可分解为虹彩大晶体
CrossbowCompoundS12,items,Gun,,,复合弩[飞花实可叹]
CrossbowCompoundS12Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]弹道速度+120%\n换弹速度+120%\n\n可分解为虹彩大晶体
CrossbowCompoundS13,items,Gun,,,复合弩[飞花实可叹]
CrossbowCompoundS13Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]弹道速度+120%\n换弹速度+120%\n\n可分解为绯绯色金

CrossbowCompoundS7P1,items,Gun,,,复合弩[穿心]
CrossbowCompoundS7P1Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]箭矢装载量+1\n\n可分解为虹彩小晶块
CrossbowCompoundS8P1,items,Gun,,,复合弩[援击]
CrossbowCompoundS8P1Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]箭矢装载量+2\n\n可分解为虹彩小晶块
CrossbowCompoundS9P1,items,Gun,,,复合弩[出泥弹雨Ⅰ]
CrossbowCompoundS9P1Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]箭矢装载量+2\n\n可分解为虹彩大晶体
CrossbowCompoundS10P1,items,Gun,,,复合弩[出泥弹雨Ⅱ]
CrossbowCompoundS10P1Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]箭矢装载量+3\n\n可分解为虹彩大晶体
CrossbowCompoundS11P1,items,Gun,,,复合弩[出泥弹雨Ⅲ]
CrossbowCompoundS11P1Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]箭矢装载量+3\n\n可分解为虹彩大晶体
CrossbowCompoundS12P1,items,Gun,,,复合弩[滴滴映此生]
CrossbowCompoundS12P1Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]箭矢装载量+4\n\n可分解为虹彩大晶体
CrossbowCompoundS13P1,items,Gun,,,复合弩[滴滴映此生]
CrossbowCompoundS13P1Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]箭矢装载量+4\n\n可分解为绯绯色金



GunPistolS1,items,Gun,,,手枪[初心者Ⅰ]
GunPistolS1Desc,items,Gun,,,[999498]RANK 1\n\n[FFFFFF]击杀经验+50\n\n可分解为虹彩小晶块
GunPistolS2,items,Gun,,,手枪[初心者Ⅱ]
GunPistolS2Desc,items,Gun,,,[CCECFF]RANK 2\n\n[FFFFFF]击杀经验+100\n\n可分解为虹彩小晶块
GunPistolS3,items,Gun,,,手枪[初心者Ⅲ]
GunPistolS3Desc,items,Gun,,,[F5F918]RANK 3\n\n[FFFFFF]击杀经验+150\n\n可分解为虹彩小晶块
GunPistolS4,items,Gun,,,手枪[学徒Ⅰ]
GunPistolS4Desc,items,Gun,,,[67C483]RANK 4\n\n[FFFFFF]击杀经验+200\n\n可分解为虹彩小晶块
GunPistolS5,items,Gun,,,手枪[学徒Ⅱ]
GunPistolS5Desc,items,Gun,,,[84E1EC]RANK 5\n\n[FFFFFF]击杀经验+250\n\n可分解为虹彩小晶块
GunPistolS6,items,Gun,,,手枪[学徒Ⅲ]
GunPistolS6Desc,items,Gun,,,[7EA8FB]RANK 6\n\n[FFFFFF]击杀经验+300\n\n可分解为虹彩小晶块
GunPistolS7,items,Gun,,,手枪[熟 = 练]
GunPistolS7Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]击杀经验+350\n\n可分解为虹彩小晶块
GunPistolS8,items,Gun,,,手枪[博 = 学]
GunPistolS8Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]击杀经验+400\n\n可分解为虹彩小晶块
GunPistolS9,items,Gun,,,手枪[孜孜不倦Ⅰ]
GunPistolS9Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]击杀经验+450\n\n可分解为虹彩大晶体
GunPistolS10,items,Gun,,,手枪[孜孜不倦Ⅱ]
GunPistolS10Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]击杀经验+500\n\n可分解为虹彩大晶体
GunPistolS11,items,Gun,,,手枪[孜孜不倦Ⅲ]
GunPistolS11Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]击杀经验+550\n\n可分解为虹彩大晶体
GunPistolS12,items,Gun,,,手枪[月照心自明]
GunPistolS12Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]击杀经验+600\n\n可分解为虹彩大晶体
GunPistolS13,items,Gun,,,手枪[月照心自明]
GunPistolS13Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]击杀经验+600\n\n可分解为绯绯色金



GunSmg5S7,items,Gun,,,SMG5[怒吼]
GunSmg5S7Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]移动中实体伤害+10%\n\n可分解为虹彩小晶块
GunSmg5S8,items,Gun,,,SMG5[咆哮]
GunSmg5S8Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]移动中实体伤害+20%\n\n可分解为虹彩小晶块
GunSmg5S9,items,Gun,,,SMG5[奔袭Ⅰ]
GunSmg5S9Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]移动中实体伤害+30%\n\n可分解为虹彩大晶体
GunSmg5S10,items,Gun,,,SMG5[奔袭Ⅱ]
GunSmg5S10Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]移动中实体伤害+40%\n\n可分解为虹彩大晶体
GunSmg5S11,items,Gun,,,SMG5[奔袭Ⅲ]
GunSmg5S11Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]移动中实体伤害+50%\n\n可分解为虹彩大晶体
GunSmg5S12,items,Gun,,,SMG5[沐辉决绝行]
GunSmg5S12Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]移动中实体伤害+60%\n\n可分解为虹彩大晶体
GunSmg5S13,items,Gun,,,SMG5[沐辉决绝行]
GunSmg5S13Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]移动中实体伤害+60%\n\n可分解为绯绯色金

GunSmg5S7P1,items,Gun,,,SMG5[祭参]
GunSmg5S7P1Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]移动中实体伤害+2%\n已改装成.44武器\n\n可分解为虹彩小晶块
GunSmg5S8P1,items,Gun,,,SMG5[祈愿]
GunSmg5S8P1Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]移动中实体伤害+4%\n已改装成.44武器\n\n可分解为虹彩小晶块
GunSmg5S9P1,items,Gun,,,SMG5[祸封Ⅰ]
GunSmg5S9P1Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]移动中实体伤害+6%\n已改装成.44武器\n\n可分解为虹彩大晶体
GunSmg5S10P1,items,Gun,,,SMG5[祸封Ⅱ]
GunSmg5S10P1Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]移动中实体伤害+8%\n已改装成.44武器\n\n可分解为虹彩大晶体
GunSmg5S11P1,items,Gun,,,SMG5[祸封Ⅲ]
GunSmg5S11P1Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]移动中实体伤害+10%\n已改装成.44武器\n\n可分解为虹彩大晶体
GunSmg5S12P1,items,Gun,,,SMG5[镜花水月深]
GunSmg5S12P1Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]移动中实体伤害+12%\n已改装成.44武器\n\n可分解为虹彩大晶体
GunSmg5S13P1,items,Gun,,,SMG5[镜花水月深]
GunSmg5S13P1Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]移动中实体伤害+12%\n已改装成.44武器\n\n可分解为绯绯色金



GunMagnum44S4,items,Gun,,,马格南[听雷Ⅰ]
GunMagnum44S4Desc,items,Gun,,,[67C483]RANK 4\n\n[FFFFFF]换弹速度+40%\n攻击时40%几率使目标电击\n弹夹的第6发子弹伤害增加160%\n\n可分解为虹彩小晶块
GunMagnum44S5,items,Gun,,,马格南[听雷Ⅱ]
GunMagnum44S5Desc,items,Gun,,,[84E1EC]RANK 5\n\n[FFFFFF]换弹速度+50%\n攻击时45%几率使目标电击\n弹夹的第6发子弹伤害增加180%\n\n可分解为虹彩小晶块
GunMagnum44S6,items,Gun,,,马格南[听雷Ⅲ]
GunMagnum44S6Desc,items,Gun,,,[7EA8FB]RANK 6\n\n[FFFFFF]换弹速度+60%\n攻击时50%几率使目标电击\n弹夹的第6发子弹伤害增加200%\n\n可分解为虹彩小晶块
GunMagnum44S7,items,Gun,,,马格南[若雷]
GunMagnum44S7Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]换弹速度+70%\n攻击时55%几率使目标电击\n弹夹的第3、6发子弹伤害增加220%\n\n可分解为虹彩小晶块
GunMagnum44S8,items,Gun,,,马格南[光雷]
GunMagnum44S8Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]换弹速度+80%\n攻击时60%几率使目标电击\n弹夹的第3、6发子弹伤害增加240%\n\n可分解为虹彩小晶块
GunMagnum44S9,items,Gun,,,马格南[天雷Ⅰ]
GunMagnum44S9Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]换弹速度+90%\n攻击时65%几率使目标电击\n弹夹的第3、6发子弹伤害增加260%\n\n可分解为虹彩大晶体
GunMagnum44S10,items,Gun,,,马格南[天雷Ⅱ]
GunMagnum44S10Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]换弹速度+100%\n攻击时70%几率使目标电击\n弹夹的第2、4、6发子弹伤害增加280%\n\n可分解为虹彩大晶体
GunMagnum44S11,items,Gun,,,马格南[天雷Ⅲ]
GunMagnum44S11Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]换弹速度+110%\n攻击时75%几率使目标电击\n弹夹的第2、4、6发子弹伤害增加300%\n\n可分解为虹彩大晶体
GunMagnum44S12,items,Gun,,,马格南[子规啼离恨]
GunMagnum44S12Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]换弹速度+120%\n攻击时80%几率使目标电击\n弹夹的第2、4、6发子弹伤害增加320%\n\n可分解为虹彩大晶体
GunMagnum44S13,items,Gun,,,马格南[子规啼离恨]
GunMagnum44S13Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]换弹速度+120%\n攻击时80%几率使目标电击\n弹夹的第2、4、6发子弹伤害增加320%\n\n可分解为绯绯色金

GunMagnum44S7P1,items,Gun,,,马格南[鸣雷]
GunMagnum44S7P1Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]换弹速度+70%\n攻击时30%几率使目标及周围电击\n弹夹的第3、6发子弹伤害增加220%\n\n可分解为虹彩小晶块
GunMagnum44S8P1,items,Gun,,,马格南[飞雷]
GunMagnum44S8P1Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]换弹速度+80%\n攻击时32%几率使目标及周围电击\n弹夹的第3、6发子弹伤害增加240%\n\n可分解为虹彩小晶块
GunMagnum44S9P1,items,Gun,,,马格南[雷爆Ⅰ]
GunMagnum44S9P1Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]换弹速度+90%\n攻击时34%几率使目标及周围电击\n弹夹的第3、6发子弹伤害增加260%\n\n可分解为虹彩大晶体
GunMagnum44S10P1,items,Gun,,,马格南[雷爆Ⅱ]
GunMagnum44S10P1Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]换弹速度+100%\n攻击时36%几率使目标及周围电击\n弹夹的第2、4、6发子弹伤害增加280%\n\n可分解为虹彩大晶体
GunMagnum44S11P1,items,Gun,,,马格南[雷爆Ⅲ]
GunMagnum44S11P1Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]换弹速度+110%\n攻击时38%几率使目标及周围电击\n弹夹的第2、4、6发子弹伤害增加300%\n\n可分解为虹彩大晶体
GunMagnum44S12P1,items,Gun,,,马格南[知谢芬芳溢]
GunMagnum44S12P1Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]换弹速度+120%\n攻击时40%几率使目标及周围电击\n弹夹的第2、4、6发子弹伤害增加320%\n\n可分解为虹彩大晶体
GunMagnum44S13P1,items,Gun,,,马格南[知谢芬芳溢]
GunMagnum44S13P1Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]换弹速度+120%\n攻击时40%几率使目标及周围电击\n弹夹的第2、4、6发子弹伤害增加320%\n\n可分解为绯绯色金



GunDesertVultureS7,items,Gun,,,沙漠秃鹰[炎羽]
GunDesertVultureS7Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]对燃烧的目标伤害乘数+10%\n攻击时使目标燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到15点可叠加的伤害\n\n可分解为虹彩小晶块
GunDesertVultureS8,items,Gun,,,沙漠秃鹰[火舞]
GunDesertVultureS8Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]对燃烧的目标伤害乘数+20%\n攻击时使目标燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到18点可叠加的伤害\n\n可分解为虹彩小晶块
GunDesertVultureS9,items,Gun,,,沙漠秃鹰[炽热Ⅰ]
GunDesertVultureS9Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]对燃烧的目标伤害乘数+30%\n攻击时使目标燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到21点可叠加的伤害\n\n可分解为虹彩大晶体
GunDesertVultureS10,items,Gun,,,沙漠秃鹰[炽热Ⅱ]
GunDesertVultureS10Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]对燃烧的目标伤害乘数+40%\n攻击时使目标燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到24点可叠加的伤害\n\n可分解为虹彩大晶体
GunDesertVultureS11,items,Gun,,,沙漠秃鹰[炽热Ⅲ]
GunDesertVultureS11Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]对燃烧的目标伤害乘数+50%\n攻击时使目标燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到27点可叠加的伤害\n\n可分解为虹彩大晶体
GunDesertVultureS12,items,Gun,,,沙漠秃鹰[无言亦无声]
GunDesertVultureS12Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]对燃烧的目标伤害乘数+60%\n攻击时使目标燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到30点可叠加的伤害\n\n可分解为虹彩大晶体
GunDesertVultureS13,items,Gun,,,沙漠秃鹰[无言亦无声]
GunDesertVultureS13Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]对燃烧的目标伤害乘数+60%\n攻击时使目标燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到30点可叠加的伤害\n\n可分解为绯绯色金

GunDesertVultureS7P1,items,Gun,,,沙漠秃鹰[烈火]
GunDesertVultureS7P1Desc,items,Gun,,,[7555E1]RANK 7\n\n[FFFFFF]对燃烧的目标伤害乘数+10%\n攻击时40%几率使目标及周围燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到15点可叠加的伤害\n\n可分解为虹彩小晶块
GunDesertVultureS8P1,items,Gun,,,沙漠秃鹰[燎原]
GunDesertVultureS8P1Desc,items,Gun,,,[FF985E]RANK 8\n\n[FFFFFF]对燃烧的目标伤害乘数+20%\n攻击时42%几率使目标及周围燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到18点可叠加的伤害\n\n可分解为虹彩小晶块
GunDesertVultureS9P1,items,Gun,,,沙漠秃鹰[火龙Ⅰ]
GunDesertVultureS9P1Desc,items,Gun,,,[00FF00]RANK 9\n\n[FFFFFF]对燃烧的目标伤害乘数+30%\n攻击时44%几率使目标及周围燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到21点可叠加的伤害\n\n可分解为虹彩大晶体
GunDesertVultureS10P1,items,Gun,,,沙漠秃鹰[火龙Ⅱ]
GunDesertVultureS10P1Desc,items,Gun,,,[00BFFF]RANK 10\n\n[FFFFFF]对燃烧的目标伤害乘数+40%\n攻击时46%几率使目标及周围燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到24点可叠加的伤害\n\n可分解为虹彩大晶体
GunDesertVultureS11P1,items,Gun,,,沙漠秃鹰[火龙Ⅲ]
GunDesertVultureS11P1Desc,items,Gun,,,[BA55D3]RANK 11\n\n[FFFFFF]对燃烧的目标伤害乘数+50%\n攻击时48%几率使目标及周围燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到27点可叠加的伤害\n\n可分解为虹彩大晶体
GunDesertVultureS12P1,items,Gun,,,沙漠秃鹰[风过云雾散]
GunDesertVultureS12P1Desc,items,Gun,,,[FFA500]RANK 12\n\n[FFFFFF]对燃烧的目标伤害乘数+60%\n攻击时50%几率使目标及周围燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到30点可叠加的伤害\n\n可分解为虹彩大晶体
GunDesertVultureS13P1,items,Gun,,,沙漠秃鹰[风过云雾散]
GunDesertVultureS13P1Desc,items,Gun,,,[6D0F0F]RANK 12+\n\n[FFFFFF]对燃烧的目标伤害乘数+60%\n攻击时50%几率使目标及周围燃烧并陷入烈炎净世状态：\n持续焚烧（60秒）每秒受到30点可叠加的伤害\n\n可分解为绯绯色金



GunDoubleBarrelS1,items,Gun,,,双管霰弹枪[无双Ⅰ]
GunDoubleBarrelS1Desc,items,Gun,,,[999498]RANK 1\n\n[FFFFFF]自身生命百分比越高伤害乘数越高\n最高+37%\n\n可分解为虹彩小晶块
GunDoubleBarrelS2,items,Gun,,,双管霰弹枪[无双Ⅱ]
GunDoubleBarrelS2Desc,items,Gun,,,[CCECFF]RANK 2\n\n[FFFFFF]自身生命百分比越高伤害乘数越高\n最高+50%\n\n可分解为虹彩小晶块
