Key,File,Type,UsedInMainMenu,NoTranslate,schinese
perkEntityDamageUpRank1Desc,progression,perk Per,,,电击攻击强化Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,进行概率电击的攻击时，概率提升，伤害提升
perkEntityDamageUpRank2Desc,progression,perk Per,,,电击攻击强化Ⅱ
perkEntityDamageUpRank2LongDesc,progression,perk Per,,,
perkEntityDamageUpRank3Desc,progression,perk Per,,,电击攻击强化Ⅲ
perkEntityDamageUpRank3LongDesc,progression,perk Per,,,
perkEntityDamageUpRank4Desc,progression,perk Per,,,电击攻击强化Ⅳ
perkEntityDamageUpRank4LongDesc,progression,perk Per,,,
perkEntityDamageUpRank5Desc,progression,perk Per,,,电击攻击强化Ⅴ
perkEntityDamageUpRank5LongDesc,progression,perk Per,,,

perkEntityDamageUpName,progression,perk Per,,,燃烧攻击强化
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：附魔类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,燃烧攻击强化Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,进行概率燃烧的攻击时，概率提升，伤害提升
perkEntityDamageUpRank2Desc,progression,perk Per,,,燃烧攻击强化Ⅱ
perkEntityDamageUpRank2LongDesc,progression,perk Per,,,
perkEntityDamageUpRank3Desc,progression,perk Per,,,燃烧攻击强化Ⅲ
perkEntityDamageUpRank3LongDesc,progression,perk Per,,,
perkEntityDamageUpRank4Desc,progression,perk Per,,,燃烧攻击强化Ⅳ
perkEntityDamageUpRank4LongDesc,progression,perk Per,,,
perkEntityDamageUpRank5Desc,progression,perk Per,,,燃烧攻击强化Ⅴ
perkEntityDamageUpRank5LongDesc,progression,perk Per,,,

perkEntityDamageUpName,progression,perk Per,,,特殊射击强化
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：附魔类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,特殊射击强化Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,弓、弩的特殊弹药威力提升
perkEntityDamageUpRank2Desc,progression,perk Per,,,特殊射击强化Ⅱ
perkEntityDamageUpRank2LongDesc,progression,perk Per,,,

perkEntityDamageUpName,progression,perk Per,,,炮术
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：附魔类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,炮术Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,火箭筒的闪击炮威力提升，冷却时间降低
perkEntityDamageUpRank2Desc,progression,perk Per,,,炮术Ⅱ
perkEntityDamageUpRank2LongDesc,progression,perk Per,,,
perkEntityDamageUpRank3Desc,progression,perk Per,,,炮术Ⅲ
perkEntityDamageUpRank3LongDesc,progression,perk Per,,,
perkEntityDamageUpRank4Desc,progression,perk Per,,,炮术Ⅳ
perkEntityDamageUpRank4LongDesc,progression,perk Per,,,
perkEntityDamageUpRank5Desc,progression,perk Per,,,炮术Ⅴ
perkEntityDamageUpRank5LongDesc,progression,perk Per,,,

perkEntityDamageUpName,progression,perk Per,,,属性解放
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：附魔类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,属性解放Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,解放武器的隐藏属性
perkEntityDamageUpRank2Desc,progression,perk Per,,,属性解放Ⅱ
perkEntityDamageUpRank2LongDesc,progression,perk Per,,,
perkEntityDamageUpRank3Desc,progression,perk Per,,,属性解放Ⅲ
perkEntityDamageUpRank3LongDesc,progression,perk Per,,,

perkEntityDamageUpName,progression,perk Per,,,装填扩充
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：附魔类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,装填扩充Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,增加弩的装填数量
perkEntityDamageUpRank2Desc,progression,perk Per,,,装填扩充Ⅱ
perkEntityDamageUpRank2LongDesc,progression,perk Per,,,
perkEntityDamageUpRank3Desc,progression,perk Per,,,装填扩充Ⅲ
perkEntityDamageUpRank3LongDesc,progression,perk Per,,,




perkEntityDamageUpName,progression,perk Per,,,千淬百炼
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：套装类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,千淬百炼Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,武器在修理后一定时间内耐久不会下降

perkEntityDamageUpName,progression,perk Per,,,弹道强化
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：套装类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,弹道强化Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,提升弓、弩、火箭筒的弹道速度

perkEntityDamageUpName,progression,perk Per,,,达人艺
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：套装类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,达人艺Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,武器命中弱点时不消耗耐久

perkEntityDamageUpName,progression,perk Per,,,武器保养
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：套装类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,武器保养Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,武器、工具的耐久消耗速度降低

perkEntityDamageUpName,progression,perk Per,,,弹药回收
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：套装类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,弹药回收Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,弹药击中目标后，有一定几率可回收\n可回收的弹药将会自动回收

perkEntityDamageUpName,progression,perk Per,,,剥取名人
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：套装类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,剥取名人Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,解剖数量提升

perkEntityDamageUpName,progression,perk Per,,,杀意波动
perkEntityDamageUpDesc,progression,perk Per,,,虹彩：套装类技能
perkEntityDamageUpRank1Desc,progression,perk Per,,,杀意波动Ⅰ
perkEntityDamageUpRank1LongDesc,progression,perk Per,,,未进行攻击时，会慢慢积累杀意\n积累完毕的杀意将会强化攻击力\n攻击后杀意需要重新积累



